"","date","cases_p_reach","cases_p_reach_prop","variance_p_reach","variance_p_reach_prop","cases_p_reach_low","cases_p_reach_high","cases_p_reach_prop_low","cases_p_reach_prop_high","estimate_cases_reach","estimate_cases_reach_low","estimate_cases_reach_high","estimate_cases_reach_prop","estimate_cases_reach_prop_low","estimate_cases_reach_prop_high"
"47","2020/05/03",0.0550861200045606,0.0627617578018515,1.30048786288451e-05,1.28920279866614e-05,0.0480179136026103,0.0621543264065109,0.0557242856197709,0.0697992299839321,2585446.55037741,2253702.91227465,2253702.91227465,2945699.755056,2615398.6161297,3276000.8939823
"48","2020/05/04",0.0552582163000675,0.0625502505512388,1.25777586372505e-05,1.24668512282473e-05,0.0483070496655477,0.0622093829345873,0.0556297985661128,0.0694707025363648,2593523.82598721,2267273.40583001,2267273.40583001,2935772.74092919,2610963.90141544,3260581.58044294
"49","2020/05/05",0.054107294459154,0.0626602313135838,1.28450263438162e-05,1.26397637369276e-05,0.0470826625682715,0.0611319263500366,0.0556919520158101,0.0696285106113574,2539505.73752686,2209807.25289135,2209807.25289135,2940934.64709701,2613881.0504559,3267988.24373811
"50","2020/05/06",0.0545193042759609,0.0629159772002465,1.26963649813544e-05,1.24919311089666e-05,0.0475354403230785,0.0615031682288434,0.0559885676881557,0.0698433867123373,2558843.26501104,2231058.20837989,2231058.20837989,2952937.98515005,2627802.59669641,3278073.37360369
"51","2020/05/07",0.054041492576297,0.0646118252202769,1.27870026606839e-05,1.2303563661354e-05,0.0470327445125353,0.0610502406400587,0.057736843754014,0.0714868066865397,2536417.35063326,2207464.36751489,2207464.36751489,3032531.98111471,2709857.28348877,3355206.67874065
"52","2020/05/08",0.0558386092468194,0.0673688956795397,1.74814704965655e-05,1.66201058190015e-05,0.0476436829469918,0.064033535546647,0.0593784139347213,0.0753593774243581,2620764.35303683,2236138.535667,2236138.535667,3161934.05749,2786903.76925616,3536964.34572385
"53","2020/05/09",0.0556676463886187,0.067015656251966,1.65134622977269e-05,1.57017913506309e-05,0.0477028415094677,0.0636324512677696,0.0592490610099965,0.0747822514939355,2612740.27488536,2238915.12078982,2238915.12078982,3145354.8963619,2780832.63785349,3509877.15487031
"54","2020/05/10",0.0550030760607761,0.0660525887325971,1.5769921666833e-05,1.50151742125044e-05,0.0472196493684184,0.0627865027531337,0.0584577027390645,0.0736474747261296,2581548.91376823,2216236.67739715,2216236.67739715,3100153.68060143,2743690.53179257,3456616.8294103
"55","2020/05/11",0.0552751807412089,0.0667857394453135,1.60794246267708e-05,1.53282521711515e-05,0.0474157457967487,0.0631346156856692,0.0591120823288731,0.0744593965617539,2594320.04572141,2225440.39031296,2225440.39031296,3134563.83657072,2774403.59441103,3494724.0787304
"56","2020/05/12",0.0560790041045482,0.0663861401091755,1.52469052227838e-05,1.47320334891535e-05,0.0484257361029788,0.0637322721061176,0.058863203192523,0.0739090770258279,2632047.19625744,2272843.90961948,2272843.90961948,3115808.79038003,2762722.54472948,3468895.03603058
"57","2020/05/13",0.0560552325303144,0.0663109065688841,1.51972135873171e-05,1.46837448087964e-05,0.0484144462018639,0.063696018858765,0.0588003091187825,0.0738215040189856,2630931.48626381,2272314.02231049,2272314.02231049,3112277.73215333,2759770.63477506,3464784.8295316
