"","date","r_c","r_r","r_r_recent","I_c_p_w_country","I_c_p_m_country","I_c_recent_p_w_country","I_c_recent_p_m_country","I_r_p_w_country","I_r_p_m_country","I_r_recent_p_w_country","I_r_recent_p_m_country","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"56","2020/05/14",4762,5656,5276,0.106257874842503,0.0972849511599512,0.017636684303351,0.0125,0.0601121076945063,0.0662506014652811,0.00272674667882838,0.00479976663900228,0.0812050375427268,0.0804362007401917,0.00979998068639727,0.00845273648011317
"57","2020/05/15",4754,5697,5647,0.106436684896929,0.0947268864468864,0.0151745068285281,0.00909090909090909,0.0591531610292738,0.0605757115277277,0.00161318692074016,0.00182606376872685,0.0806617126001122,0.0761105584864571,0.00781167887743891,0.00514661704837827
"58","2020/05/16",4754,5716,5666,0.106436684896929,0.0947268864468864,0.0151745068285281,0.00909090909090909,0.0579888734204858,0.060212143413242,0.00114773694402242,0.00128411204200964,0.0799870487556348,0.0758838806034947,0.00754728243643508,0.00484586954397394
"59","2020/05/17",4754,5668,5618,0.106436684896929,0.0947268864468864,0.0151745068285281,0.00909090909090909,0.0566369919175096,0.0613364008954621,0.00281283060818157,0.00239072794224809,0.0793531443281947,0.0765674859378217,0.00847879751442215,0.00546175196661508
"60","2020/05/18",4754,5668,5618,0.106436684896929,0.0947268864468864,0.0151745068285281,0.00909090909090909,0.0576115983380047,0.0612379547781498,0.00267945813258634,0.00212240023110903,0.0798831835904635,0.0765139460613175,0.00840655623329084,0.00531641210148017
"61","2020/05/19",4754,5729,5679,0.106436684896929,0.0947268864468864,0.0151745068285281,0.00909090909090909,0.0575184716498085,0.0560297735067521,0.00282061109902565,0.00191720845200269,0.0797026923668561,0.0735787647227588,0.00844990471524865,0.00518604510851195
"62","2020/05/20",4760,5719,5669,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0541376816987086,0.0535801364158056,0.00258867890189748,0.0017248411590905,0.0778331330885499,0.0676604702320126,0.00827060773451701,0.00362241102031681
"63","2020/05/21",4760,5727,5677,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0574019109708065,0.056703046574764,0.00252233184537142,0.00165003165629132,0.0795976679822455,0.0693551649788253,0.00823016434364229,0.00358026537441466
"64","2020/05/22",4760,5687,5637,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0584436903951775,0.0578064092510005,0.00232833153705429,0.00150065141888712,0.0802497623506628,0.0700042420608507,0.00814694164112687,0.00350670116843962
"65","2020/05/23",4760,5685,5635,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0580782904922391,0.0561792028450779,0.00248917557731127,0.00181512560768744,0.0800550580611182,0.0691209225058435,0.00823525269327273,0.00367755967285413
"66","2020/05/24",4760,5732,5682,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0552873362803807,0.0543121165680197,0.00233583729118073,0.00175488427122283,0.0784318539419693,0.0680429202789894,0.00812595047470886,0.00363639651686345
"67","2020/05/25",4760,5652,5602,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0553683796001493,0.0544798648007172,0.00211584979670606,0.00136198447663588,0.0786536766711529,0.0682394797592125,0.00805172147554221,0.00343850965432486
"68","2020/05/26",4760,5680,5630,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0555642336760405,0.0540244073837052,0.00191214947297307,0.00122409502672431,0.0786977823065048,0.0679547798217158,0.00792534638125692,0.00335819586144927
"69","2020/05/27",4760,5650,5600,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0557898499784335,0.0542515069643805,0.00191214947297307,0.00122409502672431,0.0788869022457396,0.0681181826847279,0.00794275911361682,0.00336437569012125
"70","2020/05/28",4760,5751,5701,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0552057969678169,0.0526710557890301,0.00191214947297307,0.00122409502672431,0.0783454037067753,0.0671202082810369,0.00788453412807958,0.00334371147570551
"71","2020/05/29",4760,5679,5629,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0535094701673803,0.0520657474931757,0.00191214947297307,0.00122409502672431,0.0775821708095175,0.0668905687722016,0.00792592518546409,0.00335840128072299
"72","2020/05/30",4760,5689,5639,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0552840839408671,0.0527917454235327,0.00191214947297307,0.00122409502672431,0.0785253281213124,0.0672716534705469,0.00792014215275663,0.00335634886582348
"73","2020/05/31",4760,5538,5488,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0552192026953808,0.0549282555863972,0.00236172383681088,0.00228632808647367,0.0788312239781529,0.068632933272163,0.0082494230859523,0.00395661285505147
"74","2020/06/01",4760,5597,5547,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0542088307640952,0.0542456055904894,0.00437451526436247,0.00335394629592733,0.0781507024994343,0.0681859536438386,0.00929896027358491,0.00452162026811962
"75","2020/06/02",4760,5550,5500,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0553721054231247,0.0560963486981113,0.00441230749978014,0.00335999225608163,0.078886050930974,0.0692457810546833,0.0093417776430031,0.00453021027372797
"76","2020/06/03",4760,5608,5558,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0559620944353713,0.0568921510626132,0.00439588892768322,0.00335874826715779,0.0790736328697494,0.0696026669134262,0.00930522368952165,0.00452296209234958
"77","2020/06/04",4760,5626,5576,0.106302521008403,0.08457757718472,0.0150375939849624,0.00588235294117647,0.0536056178916539,0.0538233268953617,0.0043826924558379,0.00324984951809707,0.0777570966934763,0.0679182846632556,0.00928955500214524,0.004462186620831
"78","2020/06/05",4760,5610,5560,0.107983193277311,0.0860061486132915,0.0130718954248366,0.00555555555555556,0.0515610740755592,0.052380550416777,0.00233197665560567,0.00214426645343759,0.077459751741937,0.0678152512282918,0.00728566011893312,0.00371769049666254
"79","2020/06/06",4760,5466,5416,0.107983193277311,0.0860061486132915,0.0130718954248366,0.00555555555555556,0.053278853923785,0.0546796617043824,0.0022338772542781,0.00213331467032596,0.0787426379373566,0.0692615194871329,0.00730354770355664,0.00373412703409295
"80","2020/06/07",4760,5523,5473,0.107983193277311,0.0860061486132915,0.0130718954248366,0.00555555555555556,0.0520739709345649,0.0542943399103793,0.00239695546395118,0.00235768744615843,0.0779543461510845,0.0689737340002229,0.00736252902144308,0.00384521331352189
