"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/25 12:29:08 PM GMT+1","Comunidad de Madrid","300","4"
"2020/03/25 12:29:12 PM GMT+1","Comunidad de Madrid","60","1"
"2020/03/25 12:29:29 PM GMT+1","Cantabria","1000","1000"
"2020/03/25 12:29:32 PM GMT+1","Cataluña","150","10"
"2020/03/25 12:29:37 PM GMT+1","La Rioja","50","2"
"2020/03/25 12:29:41 PM GMT+1","País Vasco","150","2"
"2020/03/25 12:29:45 PM GMT+1","Galicia","40","0"
"2020/03/25 12:29:57 PM GMT+1","Comunidad de Madrid","100","1"
"2020/03/25 12:29:59 PM GMT+1","Comunidad de Madrid","50","4"
"2020/03/25 12:30:06 PM GMT+1","Comunidad de Madrid","200","6"
"2020/03/25 12:30:13 PM GMT+1","Andalucía","150","10"
"2020/03/25 12:31:02 PM GMT+1","Comunidad Valenciana","100","3"
"2020/03/25 12:31:14 PM GMT+1","Comunidad de Madrid","30","1"
"2020/03/25 12:31:28 PM GMT+1","Baleares","100","0"
"2020/03/25 12:32:15 PM GMT+1","Comunidad de Madrid","300","3"
"2020/03/25 12:32:32 PM GMT+1","Cantabria","100","0"
"2020/03/25 12:32:34 PM GMT+1","Comunidad Valenciana","30","0"
"2020/03/25 12:33:11 PM GMT+1","Comunidad de Madrid","100","20"
"2020/03/25 12:33:43 PM GMT+1","Comunidad de Madrid","400","120"
"2020/03/25 12:33:43 PM GMT+1","Principado de Asturias","100","0"
"2020/03/25 12:33:53 PM GMT+1","Todo el país","100","6"
"2020/03/25 12:34:19 PM GMT+1","Aragón","8","1"
"2020/03/25 12:36:12 PM GMT+1","Todo el país","100","4"
"2020/03/25 12:36:15 PM GMT+1","Comunidad de Madrid","400","10"
"2020/03/25 12:36:51 PM GMT+1","Castilla-La Mancha","4","0"
"2020/03/25 12:37:23 PM GMT+1","Comunidad de Madrid","200","14"
"2020/03/25 12:37:26 PM GMT+1","Comunidad de Madrid","150","1"
"2020/03/25 12:37:45 PM GMT+1","Comunidad de Madrid","50","3"
"2020/03/25 12:37:49 PM GMT+1","Cataluña","40","0"
"2020/03/25 12:38:32 PM GMT+1","Cataluña","50","0"
"2020/03/25 12:38:34 PM GMT+1","Andalucía","100","3"
"2020/03/25 12:40:14 PM GMT+1","Cantabria","40","2"
"2020/03/25 12:40:31 PM GMT+1","País Vasco","50","4"
"2020/03/25 12:40:45 PM GMT+1","Andalucía","100","0"
"2020/03/25 12:40:52 PM GMT+1","Baleares","60","8"
"2020/03/25 12:40:53 PM GMT+1","Galicia","100","3"
"2020/03/25 12:42:05 PM GMT+1","Cataluña","50","0"
"2020/03/25 12:42:15 PM GMT+1","Aragón","1000","1"
"2020/03/25 12:42:39 PM GMT+1","Comunidad de Madrid","150","8"
"2020/03/25 12:43:20 PM GMT+1","Comunidad de Madrid","300","4"
"2020/03/25 12:43:20 PM GMT+1","Aragón","50","0"
"2020/03/25 12:43:36 PM GMT+1","País Vasco","300","5"
"2020/03/25 12:43:56 PM GMT+1","Galicia","100","0"
"2020/03/25 12:44:24 PM GMT+1","Comunidad de Madrid","150","5"
"2020/03/25 12:45:05 PM GMT+1","Comunidad de Madrid","50","3"
"2020/03/25 12:47:58 PM GMT+1","Aragón","60","0"
"2020/03/25 12:49:10 PM GMT+1","Comunidad Valenciana","50","0"
"2020/03/25 12:49:27 PM GMT+1","Castilla y León","200","5"
"2020/03/25 12:49:33 PM GMT+1","Comunidad de Madrid","120","2"
"2020/03/25 12:49:57 PM GMT+1","Comunidad Valenciana","200","0"
"2020/03/25 12:50:17 PM GMT+1","Aragón","100","2"
"2020/03/25 12:50:29 PM GMT+1","Canarias","1000","2"
"2020/03/25 12:50:37 PM GMT+1","Andalucía","20","0"
"2020/03/25 12:53:29 PM GMT+1","Comunidad de Madrid","200","15"
"2020/03/25 12:53:31 PM GMT+1","Andalucía","100","5"
"2020/03/25 12:54:12 PM GMT+1","Galicia","14","0"
"2020/03/25 12:55:47 PM GMT+1","Comunidad de Madrid","90","8"
"2020/03/25 12:58:01 PM GMT+1","Principado de Asturias","100","0"
"2020/03/25 12:58:08 PM GMT+1","Andalucía","75","0"
"2020/03/25 12:59:31 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/25 12:59:48 PM GMT+1","Baleares","50","2"
"2020/03/25 1:00:30 PM GMT+1","Comunidad Valenciana","60","1"
"2020/03/25 1:01:56 PM GMT+1","Galicia","100","0"
"2020/03/25 1:02:40 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/25 1:03:21 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/25 1:04:36 PM GMT+1","Comunidad de Madrid","50","5"
"2020/03/25 1:04:45 PM GMT+1","Cataluña","100","3"
