"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"18499","2020/07/02",0,0,4149,126,9933.41493689957,8007.41493689957,0.00314958550482181,0.00309740048319665,0.00320264973999936,0,0.00219489124923925,0.0017693215360149,4525698
"18498","2020/07/03",323,3,4472,129,7297.10263450086,5638.10263450086,0.00330869892190388,0.00325493970262973,0.00336334603893376,1081.54239404929,0.00161237065188638,0.00124579736308098,4525698
"18497","2020/07/04",0,0,4472,129,7297.10263450086,5638.10263450086,0.00316197337239056,0.00311050169146077,0.00321429679178588,0,0.00161237065188638,0.00124579736308098,4525698
"18496","2020/07/05",355,0,4827,129,7436.89716952877,5593.89716952877,0.00326855153089654,0.00321525368374129,0.00332273287303874,1087.90747458624,0.0016432597070173,0.00123602970625277,4525698
"18495","2020/07/06",52,1,4879,130,7590.92462443638,5695.92462443638,0.00319330237310378,0.00314151618118515,0.00324594223233422,154.027454907615,0.00167729367369108,0.00125857373259028,4525698
"18494","2020/07/07",0,0,4879,130,6084.45075519576,4497.45075519576,0.00306410392280577,0.00301433783465713,0.0031146916386768,0,0.00134442261838854,0.00099375847774106,4525698
"18493","2020/07/08",0,0,4879,130,3955.3596324964,2815.3596324964,0.00294583593577253,0.00289792458315146,0.00299453940621589,0,0.000873977811267213,0.000622082965433488,4525698
"18492","2020/07/09",145,5,5024,135,4352.21829026375,3067.21829026375,0.0030383088426522,0.00299050255538928,0.00308687936303632,396.858657767344,0.000961667855491849,0.000677733752951202,4525698
"18491","2020/07/10",63,4,5087,139,3822.70375662923,2642.70375662923,0.00306472399433604,0.00301770887190064,0.00311247160019891,171.773336123112,0.000844666117056248,0.000583932855579234,4525698
"18490","2020/07/11",39,5,5126,144,3929.52791344938,2710.52791344938,0.00310240076105149,0.00305625430219171,0.0031492439864283,106.824156820148,0.000868270024524256,0.000598919307795035,4525698
"18489","2020/07/12",0,0,5126,144,2998.93347425374,2021.93347425374,0.00301483201526565,0.00296994521849987,0.00306039721664016,0,0.000662645513300654,0.00044676721121333,4525698
"18488","2020/07/13",0,0,5126,144,2998.93347425374,2021.93347425374,0.00293653022384163,0.00289277150346406,0.00298095087884031,0,0.000662645513300654,0.00044676721121333,4525698
"18487","2020/07/14",229,3,5355,147,3590.77102457717,2384.77102457717,0.003058024349204,0.00301325756313525,0.00310345621785959,591.837550323424,0.000793418169877258,0.000526939938232107,4525698
"18486","2020/07/15",91,2,5446,149,2742.40086434327,1768.40086434327,0.00308338324332891,0.00303875748589239,0.0031286643535654,233.17223381539,0.000605961967489495,0.000390746546575417,4525698
"18485","2020/07/16",0,0,5446,149,2742.40086434327,1768.40086434327,0.00301708869227142,0.00297339286671909,0.0030614266546877,0,0.000605961967489495,0.000390746546575417,4525698
"18484","2020/07/17",0,0,5446,149,1654.49338975703,1035.49338975703,0.00295391786473792,0.00291110920940261,0.00299735603303196,0,0.000365577506443654,0.000228803024363763,4525698
"18483","2020/07/18",0,0,5446,149,1500.46593484942,933.465934849419,0.0028957795536831,0.00285378822156847,0.00293838875644399,0,0.00033154353976987,0.000206258998026253,4525698
"18482","2020/07/19",0,0,5446,149,1500.46593484942,933.465934849419,0.00284352825362448,0.00280227264226478,0.00288539123824366,0,0.00033154353976987,0.000206258998026253,4525698
"18481","2020/07/20",427,6,5873,155,2532.98625508786,1538.98625508786,0.00313794381417745,0.0030939699924778,0.00318254262480704,1032.52032023844,0.000559689633530089,0.000340055004794367,4525698
"18480","2020/07/21",50,0,5923,155,2255.09652422968,1356.09652422968,0.00311400784622839,0.00307034859670408,0.00315828791453238,118.968926909169,0.000498287009921935,0.000299643618339024,4525698
"18479","2020/07/22",0,0,5923,155,2083.32318810657,1247.32318810657,0.00305995590247909,0.00301703283505398,0.00310348963270369,0,0.000460331906394675,0.000275609019449943,4525698
"18478","2020/07/23",0,0,5923,155,1976.49903128642,1179.49903128642,0.00300545045644943,0.00296327045050337,0.00304823086419186,0,0.000436727998926668,0.000260622567234142,4525698
"18477","2020/07/24",104,0,6027,155,2211.21900078787,1310.21900078787,0.00300560789013445,0.00296340515447692,0.00304841164752345,234.719969501449,0.000488591815182513,0.000289506502817437,4525698
"18476","2020/07/25",40,1,6067,156,2300.59500510782,1359.59500510782,0.00299536236293895,0.00295352403588502,0.00303779335339749,89.3760043199479,0.000508340372050415,0.00030041664404205,4525698
