"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"25820","2020/06/11",2,0,1533,28,17.851262603782,4.85126260378204,0.000382249853881628,0.000356201920364143,0.000410202591392976,2.7180986703762,3.27520802590883e-06,8.90071171342919e-07,5450421
"25819","2020/06/12",8,0,1541,28,27.3079932365046,7.30799323650456,0.000383573405783236,0.000357434339507889,0.000411624014152406,10.8534019256196,5.01025393020182e-06,1.34081261548504e-06,5450421
"25818","2020/06/13",1,0,1542,28,27.2703188020962,7.27031880209621,0.000383145312191264,0.000357034794332871,0.00041116533341923,1.35428226693828,5.00334172389549e-06,1.33390040917871e-06,5450421
"25817","2020/06/14",3,0,1545,28,31.3256413402246,8.32564134022459,0.000383179777697193,0.000357065977332722,0.000411203394769963,4.05532253812837,5.74738012719102e-06,1.52752261526671e-06,5450421
"25816","2020/06/15",3,0,1548,28,35.3732664666951,9.3732664666951,0.000383195089931362,0.000357079315967577,0.000411220897938647,4.04762512647052,6.49000627046885e-06,1.71973256133702e-06,5450421
"25815","2020/06/16",4,0,1552,28,36.6206418517068,9.62064185170682,0.000383443715055364,0.000357310069659743,0.00041148877431714,5.38641669292725,6.71886480910499e-06,1.76511903423732e-06,5450421
"25814","2020/06/17",0,0,1552,28,35.244459213588,9.24445921358796,0.000382689640648395,0.000356606467809787,0.000410680608119857,0,6.46637373765952e-06,1.6961000285277e-06,5450421
"25813","2020/06/18",9,0,1561,28,47.3161313537111,12.3161313537111,0.000384147292082415,0.000357963848052041,0.000412245937172959,12.0716721401231,8.68118836209369e-06,2.25966606133931e-06,5450421
"25812","2020/06/19",1,0,1562,28,45.9151774212614,11.9151774212614,0.000383621849411963,0.000357473303109206,0.000411683116099153,1.33860472733278,8.42415245010641e-06,2.18610221508787e-06,5450421
"25811","2020/06/20",14,0,1576,28,64.6164237859612,16.6164237859612,0.000386250166609237,0.000359921549141953,0.000414504748496799,18.7012463646997,1.18553087524727e-05,3.04864959715244e-06,5450421
"25810","2020/06/21",10,0,1586,28,75.2163786412882,19.2163786412882,0.000387832485271156,0.000361395090412161,0.000416203873882345,13.3281861425227,1.38001043664862e-05,3.52566868527921e-06,5450421
"25809","2020/06/22",1,0,1587,28,75.1842884010593,19.1842884010593,0.000387090882703596,0.000360702823121923,0.000415409422569453,1.32943180592074,1.37942167038215e-05,3.51978102261445e-06,5450421
"25808","2020/06/23",1,0,1588,28,73.7918984553921,18.7918984553921,0.000386250063038796,0.000359918113717071,0.000414508482656559,1.32570872470905,1.35387520441801e-05,3.44778842870892e-06,5450421
"25807","2020/06/24",1,0,1589,28,64.26040209317,16.26040209317,0.000385384530890096,0.0003591100892757,0.000413581353141419,1.32190556339744,1.17899887170496e-05,2.98332956172927e-06,5450421
"25806","2020/06/25",18,0,1607,28,86.6337131409341,21.6337131409341,0.000388657463919114,0.000362158680965386,0.000417095135914954,23.7275933147024,1.58948663123333e-05,3.96918203950375e-06,5450421
"25805","2020/06/26",23,0,1630,28,112.810891281783,27.8108912817829,0.000393100675810841,0.000366297442643472,0.000421865192963814,30.2325006789772,2.06976472609699e-05,5.10252167342356e-06,5450421
"25804","2020/06/27",13,0,1643,28,125.795768689126,30.7957686891257,0.000394950460115555,0.000368019592995864,0.000423852069058839,17.0325025338133,2.30800095422217e-05,5.65016329731698e-06,5450421
"25803","2020/06/28",14,0,1657,28,138.681444664431,33.6814446644306,0.000396782685637109,0.000369725077674954,0.000425820451810976,18.2720926682321,2.54441711318136e-05,6.17960422955044e-06,5450421
"25802","2020/06/29",7,0,1664,28,147.77731799709,35.77731799709,0.000396706792414893,0.000369652568912622,0.000425741067108107,9.09587333265949,2.71130098018282e-05,6.56413843941414e-06,5450421
"25801","2020/06/30",1,0,1665,28,136.998819644546,32.998819644546,0.000395040008160686,0.000368097097798003,0.000423955008015936,1.29317378757908,2.51354564435566e-05,6.05436160702926e-06,5450421
"25800","2020/07/01",2,0,1667,28,138.233796347893,33.2337963478928,0.000393562281238709,0.000366717832333343,0.000422371795307249,2.5735814306795,2.53620401704552e-05,6.09747326819208e-06,5450421
"25799","2020/07/02",20,0,1687,28,145.144218466773,34.1442184667734,0.000396362819787683,0.000369325320726599,0.000425379675027326,25.6116684835804,2.66299095917129e-05,6.26451029503471e-06,5450421
"25798","2020/07/03",13,0,1700,28,148.384378148894,34.3843781488943,0.00039751605217418,0.000370397583378625,0.00042661998573197,16.5683458246436,2.72243883819056e-05,6.3085728880199e-06,5450421
