"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"23348","2020/07/13",288,0,9821,167,3924.52722273455,1568.52722273455,0.00538630874257243,0.00531479725085653,0.00545878243344778,463.340112807323,0.00133787477713078,0.000534712307862999,2933404
"23347","2020/07/14",189,0,10010,167,4092.05187579265,1619.05187579265,0.00536873836055679,0.00529742963559853,0.0054410069725933,297.352672523699,0.00139498407849469,0.000551936206466157,2933404
"23346","2020/07/15",113,2,10123,169,4142.06432742952,1627.06432742952,0.00537027427890168,0.00529965065242497,0.00544183904224643,175.848048774423,0.00141203336718349,0.000554667658266478,2933404
"23345","2020/07/16",256,2,10379,171,4404.53959993217,1708.53959993217,0.00544571031912786,0.00537479356931483,0.0055175627672778,394.013288259039,0.0015015114181109,0.000582442650222122,2933404
"23344","2020/07/17",195,1,10574,172,4692.78210994865,1805.78210994865,0.00545671489319549,0.00538598460391114,0.00552837403285542,295.187829812658,0.00159977354293805,0.000615592707294545,2933404
"23343","2020/07/18",546,5,11120,177,5133.27763579903,1929.27763579903,0.00577582202171391,0.00570276122101573,0.00584981883926283,831.904622688299,0.00174993885458636,0.000657692440522695,2933404
"23342","2020/07/19",333,1,11453,178,4505.89865859519,1637.89865859519,0.00584932509950025,0.00577566383630952,0.00592392581863035,498.887488300889,0.00153606481023248,0.000558361091276615,2933404
"23341","2020/07/20",610,0,12063,178,5182.05605786956,1833.05605786956,0.00601705029736062,0.00594124539725646,0.00609382239920373,892.544809781322,0.00176656746151214,0.000624890420095412,2933404
"23340","2020/07/21",398,2,12461,180,5439.67663123972,1882.67663123972,0.00612967404354448,0.00605315746126402,0.00620715785448228,574.300820359182,0.00185439054124141,0.000641806117138902,2933404
"23339","2020/07/22",479,0,12940,180,6112.55275592969,2076.55275592969,0.00619672183900055,0.0061193331450308,0.00627508923601071,672.876124689964,0.00208377460313332,0.000707898658326534,2933404
"23338","2020/07/23",98,5,13038,185,5623.44424925634,1881.44424925634,0.00623835661609057,0.00616222498330446,0.00631542882237511,137.548917364973,0.00191703708362583,0.00064138599703837,2933404
"23337","2020/07/24",435,3,13473,188,5836.62269921352,1896.62269921352,0.0063648673753538,0.00628821809709141,0.00644245095833772,602.817963851745,0.00198970980445023,0.000646560343959958,2933404
"23336","2020/07/25",494,3,13967,191,6049.2104922088,1903.2104922088,0.00651485390444777,0.00643741642811961,0.00659322289776059,675.927905802608,0.00206218116979755,0.000648806128378089,2933404
